date_summary,opening,closing,lowest,highest,volume,quantity,amount,avg_price
2013-12-10,2375.00000000,2545.99998999,2300.60030999,2622.00000000,253578.49980270,101.87924105,328,2489.01049113
2013-12-11,2543.00000000,2340.00000000,2110.00000000,2545.99998999,189128.75788724,81.03752669,340,2333.84168560
2013-12-12,2290.00000000,2207.01000000,2200.00000000,2364.99998999,127180.45813864,55.88399224,221,2275.79406983
2013-12-13,2209.00000000,2137.98999999,2050.00000000,2294.98999999,130903.12552498,60.23067620,271,2173.36303996
2013-12-14,2133.98999999,2100.00000000,1991.00000000,2183.00000000,91927.94474255,44.58324764,151,2061.93917241
2013-12-15,2100.00000000,2147.05882000,2001.00000000,2150.00000000,46057.70315515,22.46223541,93,2050.45055910
2013-12-16,2147.00000000,1685.00000000,1640.00000000,2182.00000000,271567.24138378,146.22141927,539,1857.23297407
2013-12-17,1739.99999000,1743.99999000,1550.00000000,1889.00000000,172369.34122860,98.84192066,353,1743.88903086
2013-12-18,1700.00000000,1360.00000000,750.00000000,1743.00000000,354614.53568862,254.93606802,871,1390.99397916
2013-12-19,1300.00000000,1797.99999000,1300.00000000,1900.00000000,154781.73572963,89.45716041,493,1730.23305256
2013-12-20,1797.99999000,1689.99999000,1572.18309000,1842.80000000,102875.77325396,59.97523146,213,1715.30431395
2013-12-21,1690.00000000,1550.00000000,1512.17485000,1697.00000000,67843.28346987,42.72335850,118,1587.96700062
2013-12-22,1596.99999000,1650.00000000,1592.00000000,1698.00000000,32700.36608671,19.94237739,106,1639.74261680
2013-12-23,1650.00000000,1720.00000000,1620.00000000,1780.00000000,79686.69117567,46.95541815,178,1697.07127133
2013-12-24,1710.00000000,1740.00000000,1681.00000000,1750.00000000,57213.03348381,33.13539604,106,1726.64402132
2013-12-25,1744.00000000,1730.00000000,1682.01000000,1755.33000000,52439.74126362,30.39963298,157,1725.01231505
2013-12-26,1750.00000000,1856.63000000,1708.00000000,1924.00000000,102020.93424069,56.50424869,302,1805.54447861
2013-12-27,1857.01000000,1889.00000000,1801.00000000,1925.00000000,135908.45957363,72.08761047,336,1885.32340977
2013-12-28,1870.00000000,1799.00000000,1799.00000000,1891.50000000,56756.80858864,31.02378422,186,1829.46117037
2013-12-29,1800.00000000,1869.99998000,1781.00000000,1879.99999000,30657.91413368,16.66615753,99,1839.53104238
2013-12-30,1825.00000000,1855.00000000,1816.77239000,1891.10000000,37948.05232437,20.53211469,102,1848.22912288
